cube_table,drift_kind,school_name,subject_id,item_id,item_name,subject,grade,cube_students,replay_students,cube_score,replay_score,cube_grade_avg,replay_grade_avg,id_hash_mismatch
cube_grade_summary,VALUE_DRIFT,Athenian Academy of Technology and the Arts,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,,12/05 8.4 Homework,Math,Grade 4,,,,,0.521504,0.529656,f
cube_grade_summary,MISSING_FROM_CUBE,Athenian Academy of Technology and the Arts,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,7615829935,12/05 8.4 Homework,Math,Grade 4,,,,,,0.537420,f
cube_grade_summary,STALE_IN_CUBE,Athenian Academy of Technology and the Arts,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,7615829935,12/05 8.4 Homework,Math,Grade 4,,,,,0.537420,,t
cube_grade_summary,STALE_IN_CUBE,Central Florida Preparatory School,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5,,,,,0.786364,,t
cube_grade_summary,VALUE_DRIFT,Central Florida Preparatory School,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5,,,,,0.796309,0.791209,f
cube_grade_summary,MISSING_FROM_CUBE,Central Florida Preparatory School,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,7891846801,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5,,,,,,0.815789,f
cube_grade_summary,STALE_IN_CUBE,Central Florida Preparatory School,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,7891846801,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5,,,,,0.815789,,t
cube_grade_summary,STALE_IN_CUBE,Central Florida Preparatory School,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,7997342490,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5,,,,,0.227273,,t
cube_grade_summary,VALUE_DRIFT,Central Florida Preparatory School,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,7997342490,Unit 7 Benchmark Test: Working With Electricity,Science,Grade 5,,,,,0.796309,0.767857,f
cube_grade_summary,STALE_IN_CUBE,Central Florida Preparatory School,11d010f3e565dca081e3c19cbbf530a3f75c786e02bf3cc53c9c1f3b2fdbbbf1,,Unit 8 Test: Classifying Plants and Animals,Science,Grade 3,,,,,0.641176,,t
