cube,kind,school_id,subject_id,item_id,cube_id_hash_mismatch,cube_students,fact_students,cube_questions,fact_questions,cube_possible,fact_possible,cube_score,fact_score,school_name,item_name,subject,grade
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,7625528258,t,18,,5,,90.0000,,75.0000,,Athenian Academy of Technology and the Arts,12/9 Reading Classwork,ELA,Grade 4
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,,t,18,,1,,1458.0000,,1395.0000,,Athenian Academy of Technology and the Arts,,ELA,Grade 5
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,7598715892,t,18,,1,,1458.0000,,1395.0000,,Athenian Academy of Technology and the Arts,M4W2 Vocabulary Quiz,ELA,Grade 5
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,,t,16,,13,,223.0000,,158.0000,,Athenian Academy of Technology and the Arts,,ELA,Grade 2
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,7334679341,t,16,,13,,223.0000,,158.0000,,Athenian Academy of Technology and the Arts,Meet in the Middle: Weekly Assessment: Week 1,ELA,Grade 2
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,,t,20,,2,,2560.0000,,2208.0000,,Athenian Academy of Technology and the Arts,,ELA,Grade 2
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,8336110460,t,20,,2,,2560.0000,,2208.0000,,Athenian Academy of Technology and the Arts,Module 8 Week 1 Vocabulary Quiz,ELA,Grade 2
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,,t,19,,7,,133.0000,,86.0000,,Athenian Academy of Technology and the Arts,,Math,Grade 4
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,ab9ccf412f84fd6481413b961c8dd491767e0de24845aff4a588d3a793dff593,7624644120,t,19,,7,,133.0000,,86.0000,,Athenian Academy of Technology and the Arts,12/09 8.6 Homework,Math,Grade 4
cube_school_summary,STALE_EXTRA_IN_CUBE,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,,t,38,,40,,1377.0000,,1231.5000,,Athenian Academy of Technology and the Arts,,Math,Grade 2
