school_name,subject_id,item_name,mismatch_cells,cells_shown_lower_than_latest,cells_shown_higher_than_latest
Central Florida Preparatory School,0b6ea15059acc93f7a6287f59765597f253a5b0a070e724056060351fde036da,Topic 5,6,3,3
Central Florida Preparatory School,4d316254551ba9aba2ecf0fb22d486d467c7715696fcd6d84f1937d77a9f2ffe,Chapter 1 Test: Whole Number Place Value,6,6,0
Central Florida Preparatory School,48d5269d526556ac465615d70d3ab9351274462ad98a3da8f23b949fbe247102,The Big Outdoors: Module 7 Assessment,6,2,4
Crestwell School,8b742d13f889644cfcfdbdaa57eb0aa793bb1aa3018e675a3d56270230f25866,Chapter 8 Test: More Addition Strategies,5,5,0
Central Florida Preparatory School,bd84b0290db8ad3d3ab9c65fa79fb0bbf8f742f0dc8820620d01c2d8763e7b25,Time to Grow!: Weekly Assessment: Week 2,5,4,1
Crestwell School,0046132646e2e83c62883fd0e87c71d964c27fff9dc8d60f7832505a14e8dfb4,Chapter 6 Test: Apply Multiplication to Perimeter and Area,5,0,5
Athenian Academy of Technology and the Arts,e0961cd21c1f1f4dec4927c6e43d02e6f9bbdb5d2e6ec316b374f8646c4f03b9,Quiz #1,5,5,0
Crestwell School,f432258069b1e9d1f105102a1774d8be67716399c944001894e8d9e6c98f0d8a,Chapter 3 Test: Basic Facts,5,0,5
Central Florida Preparatory School,61ce16428948969f8cdc203cbf754634157f024ba0d7871eeac13f5e6a309fe4,Chapter 7 Test: Subtraction Strategies,4,4,0
Central Florida Preparatory School,064588c54a59426fed9732f744d45dc8d3085b83788e76c1365aa9aec2109147,Chapter 10 Test: Addition and Subtraction Relationships,4,4,0
Central Florida Preparatory School,0309b3557fcf68e784144376d792d623f6332ac1ed9654d5863650ab2e700b60,Art Everywhere: Module 5 Assessment,4,2,2
Athenian Academy of Technology and the Arts,35c9c70e71d310b8bacbc0b0040155ad8eda4ae093b9efe728bf6a964ba02958,Nice to Meet You!: Weekly Assessment: Week 1,4,0,4
Crestwell School,afa8799c75ac18bba5458452bf828c8567c17bdfd1348c94f80aebe7811c6861,Module Assessment: Look Around and Explore!,4,1,3
Central Florida Preparatory School,21640e6f1fe3ce8b9d7edbc9d21e4727ea793755b40307e67fe1ca805b49504a,Topic 3,4,3,1
