finding,school,key1,key2,detail1,detail2,detail3
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.912.P.10.1,"",n_ukeys=18,n_missing_cqso=4,avg_shipped=0.6035 avg_correct=0.7759
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.912.P.10.2,"",n_ukeys=13,n_missing_cqso=2,avg_shipped=0.6838 avg_correct=0.8081
F2_std_summary_zero_poison,Central Florida Preparatory School,SC.912.P.12.3,"",n_ukeys=13,n_missing_cqso=4,avg_shipped=0.5411 avg_correct=0.7816
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.2.SC.2.N.1.1,"",n_ukeys=17,n_missing_cqso=1,avg_shipped=0.7390 avg_correct=0.7852
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.2.SC.2.P.13.2,"",n_ukeys=9,n_missing_cqso=2,avg_shipped=0.7114 avg_correct=0.9146
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.2.SC.2.P.13.4,"",n_ukeys=9,n_missing_cqso=2,avg_shipped=0.6191 avg_correct=0.7959
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.4.SC.4.L.17.1,"",n_ukeys=8,n_missing_cqso=4,avg_shipped=0.3783 avg_correct=0.7566
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.4.SC.4.L.17.3,"",n_ukeys=8,n_missing_cqso=2,avg_shipped=0.5598 avg_correct=0.7464
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.5.SC.5.P.11.1,"",n_ukeys=19,n_missing_cqso=10,avg_shipped=0.3844 avg_correct=0.8116
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.5.SC.5.P.11.2,"",n_ukeys=1,n_missing_cqso=1,
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.6.SC.6.E.6.2,"",n_ukeys=5,n_missing_cqso=4,avg_shipped=0.0907 avg_correct=0.4537
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.6.SC.6.E.7.1,"",n_ukeys=7,n_missing_cqso=3,avg_shipped=0.4098 avg_correct=0.7171
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.7.SC.7.L.15.1,"",n_ukeys=15,n_missing_cqso=2,avg_shipped=0.7654 avg_correct=0.8831
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.7.SC.7.L.16.1,"",n_ukeys=25,n_missing_cqso=3,avg_shipped=0.7047 avg_correct=0.8008
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.7.SC.7.P.10.1,"",n_ukeys=7,n_missing_cqso=3,avg_shipped=0.3535 avg_correct=0.6186
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.7.SC.7.P.10.2,"",n_ukeys=6,n_missing_cqso=1,avg_shipped=0.7767 avg_correct=0.9320
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.7.SC.7.P.11.2,"",n_ukeys=4,n_missing_cqso=1,avg_shipped=0.7333 avg_correct=0.9778
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.7.SC.7.P.11.3,"",n_ukeys=2,n_missing_cqso=1,avg_shipped=0.4667 avg_correct=0.9333
F2_std_summary_zero_poison,Central Florida Preparatory School,SCI.7.SC.7.P.11.4,"",n_ukeys=8,n_missing_cqso=4,avg_shipped=0.4716 avg_correct=0.9433
