school,schoology_standard,num_ukeys,missing_ukeys,shipped_pct,correct_pct,understated_pp
Crestwell School,MA.2.NSO.2,78,38,39.44,76.91,37.47
Central Florida Preparatory School,MA.6.AR.3.2,7,3,49.80,87.15,37.35
Central Florida Preparatory School,MA.3.M.2.2,16,9,29.02,66.33,37.31
Central Florida Preparatory School,MA.1.NSO.2.1,4,2,37.11,74.22,37.11
Athenian Academy of Technology and the Arts,MAFS.912.A-SSE.1.2,6,3,36.88,73.75,36.87
Crestwell School,MA.4.M.2.1,8,4,36.88,73.75,36.87
Athenian Academy of Technology and the Arts,MA.6.AR.1.1,44,22,36.72,73.44,36.72
Central Florida Preparatory School,MA.5.NSO.1.5,7,3,48.92,85.61,36.69
Central Florida Preparatory School,MA.2.NSO.1.3,4,2,36.67,73.33,36.66
Crestwell School,MA.5.NSO.1.5,5,2,54.57,90.95,36.38
Central Florida Preparatory School,MA.8.AR.2.3,5,2,54.48,90.80,36.32
Central Florida Preparatory School,SC.6.E.6.1,5,4,9.07,45.37,36.30
Central Florida Preparatory School,SCI.6.SC.6.E.6.2,5,4,9.07,45.37,36.30
Crestwell School,MA.1.AR.2.2,2,1,36.25,72.50,36.25
Central Florida Preparatory School,MA.8.AR.1.3,4,2,36.20,72.40,36.20
Athenian Academy of Technology and the Arts,MA.2.GR.1.1,42,16,58.57,94.61,36.04
Athenian Academy of Technology and the Arts,MAFS.1.OA.3.6,18,7,56.42,92.32,35.90
Athenian Academy of Technology and the Arts,AI.MA.912.AR.1.1,30,12,53.85,89.74,35.89
Crestwell School,MA.5.DP.1.2,13,6,41.86,77.74,35.88
Central Florida Preparatory School,AI.MA.912.FL.3.2,8,5,21.34,56.91,35.57
Central Florida Preparatory School,MA.5.FR.2.4,5,2,53.33,88.89,35.56
Athenian Academy of Technology and the Arts,MA.912.AR.9.2,8,4,35.02,70.04,35.02
Athenian Academy of Technology and the Arts,MA.2.FR.1.1,64,25,54.60,89.60,35.00
Crestwell School,MA.5.NSO.2.5,10,4,52.03,86.72,34.69
Crestwell School,MA.5.NSO.2.3,14,5,61.97,96.40,34.43
Athenian Academy of Technology and the Arts,SOC.8.SS.8.A.5.1,34,18,30.54,64.90,34.36
Crestwell School,MA.3.AR.1.2,51,23,41.74,76.03,34.29
Central Florida Preparatory School,MA.2.AR.2.2,17,8,38.30,72.35,34.05
Athenian Academy of Technology and the Arts,MA.912.DP.2.8,14,7,33.92,67.84,33.92
Central Florida Preparatory School,MA.5.AR.1.1,4,2,33.91,67.82,33.91
Crestwell School,MA.4.AR.3.1,19,8,46.62,80.53,33.91
Crestwell School,MA.4.DP.1.2,9,4,42.35,76.22,33.87
Crestwell School,MA.3.AR.2.3,8,3,56.17,89.87,33.70
Central Florida Preparatory School,MA.3.AR.3,8,3,55.90,89.44,33.54
Athenian Academy of Technology and the Arts,MA.6.DP.1.3,29,13,41.21,74.70,33.49
Athenian Academy of Technology and the Arts,MA.3.MAFS.3.OA.2.5,5,2,50.17,83.62,33.45
Crestwell School,MA.5.AR.3.2,6,2,66.67,100.00,33.33
Central Florida Preparatory School,SS.912.W.5.4,3,1,66.67,100.00,33.33
Athenian Academy of Technology and the Arts,MA.4.AR.3.1,54,24,41.63,74.94,33.31
Crestwell School,MA.3.GR.1,13,5,53.12,86.32,33.20
Athenian Academy of Technology and the Arts,AI.MA.912.DP.2.4,15,7,37.87,71.01,33.14
Athenian Academy of Technology and the Arts,MA.8.NSO.1.2,10,4,49.65,82.74,33.09
Crestwell School,MA.1.AR.2.3,24,9,55.10,88.16,33.06
Athenian Academy of Technology and the Arts,MA.912.AR.5.6,8,4,32.63,65.25,32.62
Athenian Academy of Technology and the Arts,MA.6.MAFS.6.SP.2.5.a,69,29,44.96,77.55,32.59
Athenian Academy of Technology and the Arts,MA.5.AR.2.2,32,12,54.20,86.72,32.52
Athenian Academy of Technology and the Arts,MA.1.M.1.2,18,7,51.03,83.51,32.48
Athenian Academy of Technology and the Arts,SS.8.A.4.4,11,9,7.19,39.57,32.38
Crestwell School,Other,25,8,51.70,84.02,32.32
Crestwell School,MA.1.NSO.2.2,62,23,54.70,86.96,32.26
Crestwell School,MA.2.M.2.1,14,5,58.01,90.24,32.23
Central Florida Preparatory School,SCI.8.SC.8.P.8.9,3,1,64.26,96.39,32.13
Central Florida Preparatory School,MA.4.NSO.1.3,15,6,48.17,80.28,32.11
Central Florida Preparatory School,MA.1.NSO.2,8,3,53.46,85.54,32.08
Athenian Academy of Technology and the Arts,MA.9-12.MAFS.912.F-LE.1.1.b,11,6,26.72,58.78,32.06
Athenian Academy of Technology and the Arts,SC.2.E.7.4,3,1,64.08,96.12,32.04
Crestwell School,MA.3.DP.1.2,15,6,48.05,80.08,32.03
Central Florida Preparatory School,MA.5.NSO.2.5,10,4,47.91,79.84,31.93
Crestwell School,MA.2.AR.2.2,30,12,47.79,79.66,31.87
Athenian Academy of Technology and the Arts,SS.7.CG.2.3,37,14,52.17,83.93,31.76
Central Florida Preparatory School,MA.912.F.2.1,11,5,38.03,69.71,31.68
Athenian Academy of Technology and the Arts,MA.4.NSO.1.3,7,3,42.23,73.90,31.67
Central Florida Preparatory School,MA.5.MAFS.5.NBT.2.7,3,2,15.82,47.45,31.63
Athenian Academy of Technology and the Arts,MAFS.912.S-ID.2.6,12,6,31.55,63.10,31.55
Central Florida Preparatory School,MA.4.NSO.2.2,11,5,37.71,69.13,31.42
Crestwell School,MA.5.M.2.1,8,3,52.22,83.55,31.33
Athenian Academy of Technology and the Arts,MA.2.MAFS.2.NBT.2.8,5,3,20.74,51.85,31.11
Central Florida Preparatory School,MA.4.NSO.1.2,8,3,51.50,82.39,30.89
Athenian Academy of Technology and the Arts,Other,3087,1169,50.44,81.30,30.86
Crestwell School,MA.4.AR.2.1,5,2,46.25,77.09,30.84
Athenian Academy of Technology and the Arts,MA.1.NSO.2.1,49,18,53.02,83.80,30.78
Central Florida Preparatory School,SCI.6.SC.6.E.7.1,7,3,40.98,71.71,30.73
Athenian Academy of Technology and the Arts,MAFS.6.SP.2.4,23,9,47.71,78.38,30.67
Athenian Academy of Technology and the Arts,SOC.8.SS.8.A.4.3,23,10,39.65,70.15,30.50
Crestwell School,MA.2.GR.1.1,6,2,60.61,90.92,30.31
Central Florida Preparatory School,MA.3.AR.2.2,3,1,60.42,90.63,30.21
Crestwell School,MA.2.NSO.1.3,9,3,60.24,90.36,30.12
Athenian Academy of Technology and the Arts,MA.7.AR.3.3,28,12,39.98,69.97,29.99
Central Florida Preparatory School,MA.5.NSO.2.1,8,3,49.77,79.64,29.87
Athenian Academy of Technology and the Arts,MA.3.MAFS.3.OA.3.7,26,9,56.35,86.18,29.83
Central Florida Preparatory School,MA.7.AR.2.2,8,3,49.50,79.19,29.69
Central Florida Preparatory School,MA.3.NSO.2.3,11,4,51.94,81.61,29.67
Athenian Academy of Technology and the Arts,MA.2.MAFS.2.NBT.1.4,8,3,49.13,78.62,29.49
Athenian Academy of Technology and the Arts,MA.3.GR.2.4,20,7,54.10,83.22,29.12
Athenian Academy of Technology and the Arts,MA.K.AR.1.1,6,2,58.21,87.32,29.11
Athenian Academy of Technology and the Arts,MA.7.NSO.1.1,30,12,43.63,72.71,29.08
Athenian Academy of Technology and the Arts,MA.K.AR.2.1,22,7,62.18,91.20,29.02
Central Florida Preparatory School,MA.2.NSO.1.1,20,11,23.71,52.68,28.97
Central Florida Preparatory School,MA.2.NSO.2,60,22,49.91,78.81,28.90
Athenian Academy of Technology and the Arts,MA.7.DP.1.2,49,19,45.59,74.47,28.88
Crestwell School,MA.5.AR.1.1,4,2,28.85,57.69,28.84
Central Florida Preparatory School,MA.8.AR.1.1,7,3,38.39,67.19,28.80
Crestwell School,MA.4.M.1.2,21,8,46.73,75.48,28.75
Athenian Academy of Technology and the Arts,MA.5.DP.1.1,42,14,57.48,86.22,28.74
Athenian Academy of Technology and the Arts,MA.5.AR.2.1,29,10,54.61,83.34,28.73
Athenian Academy of Technology and the Arts,SOC.8.SS.8.A.3.10,61,25,41.29,69.97,28.68
Crestwell School,MA.5.NSO.2.4,43,14,59.28,87.90,28.62
Athenian Academy of Technology and the Arts,MA.7.DP.1.1,14,5,51.47,80.07,28.60
Central Florida Preparatory School,MA.3.AR.2.1,3,1,57.18,85.77,28.59
Athenian Academy of Technology and the Arts,MA.5.DP.1.2,83,29,53.11,81.64,28.53
Crestwell School,MA.4.FR.1.3,20,7,52.92,81.42,28.50
Athenian Academy of Technology and the Arts,MA.1.MAFS.1.OA.2.3,43,14,58.91,87.35,28.44
Crestwell School,MA.3.GR.1.2,14,5,51.14,79.55,28.41
Crestwell School,MA.1.DP.1.1,9,3,56.79,85.18,28.39
Athenian Academy of Technology and the Arts,MA.2.NSO.1.2,41,15,49.10,77.42,28.32
Athenian Academy of Technology and the Arts,MA.8.DP.2.3,5,2,42.26,70.43,28.17
Central Florida Preparatory School,MA.8.F.1.3,10,4,42.26,70.43,28.17
Central Florida Preparatory School,MA.2.M.2.1,15,5,56.30,84.45,28.15
Central Florida Preparatory School,MA.912.GR.5.2,3,2,14.07,42.22,28.15
Athenian Academy of Technology and the Arts,MA.4.M.1.2,48,17,51.15,79.20,28.05
Central Florida Preparatory School,MA.3.GR.2.2,3,1,56.02,84.02,28.00
Central Florida Preparatory School,MA.2.NSO.1.2,34,17,27.98,55.95,27.97
Athenian Academy of Technology and the Arts,MA.6.DP.1.5,52,19,48.31,76.13,27.82
Athenian Academy of Technology and the Arts,MA.912.F.1.6,16,7,35.64,63.36,27.72
Athenian Academy of Technology and the Arts,ELA.3.R.3.3,7,4,20.78,48.48,27.70
Athenian Academy of Technology and the Arts,MA.5.AR.2.3,15,5,54.85,82.28,27.43
Athenian Academy of Technology and the Arts,MA.7.DP.2.3,26,9,51.51,78.78,27.27
Central Florida Preparatory School,MA.3.NSO.2.4,34,11,56.93,84.16,27.23
Central Florida Preparatory School,SC.4.L.17.2,10,4,40.82,68.03,27.21
Athenian Academy of Technology and the Arts,MA.2.MAFS.2.NBT.1.3,22,7,58.19,85.35,27.16
Athenian Academy of Technology and the Arts,MAFS.912.F-IF.2.4,7,3,36.16,63.29,27.13
Athenian Academy of Technology and the Arts,MA.7.DP.2.2,16,5,59.63,86.74,27.11
Central Florida Preparatory School,MA.912.AR.6.1,4,2,27.08,54.17,27.09
Central Florida Preparatory School,MA.3.AR.2.3,15,5,53.78,80.67,26.89
Crestwell School,MA.4.NSO.2,34,11,56.23,83.12,26.89
Central Florida Preparatory School,MA.912.AR.4.3,18,9,26.79,53.57,26.78
Central Florida Preparatory School,MA.5.NSO.1.1,2,1,26.61,53.23,26.62
Central Florida Preparatory School,SCI.7.SC.7.P.10.1,7,3,35.35,61.86,26.51
Central Florida Preparatory School,MA.912.GR.5.3,7,4,19.84,46.30,26.46
Crestwell School,MA.4.NSO.2.5,19,7,45.32,71.76,26.44
Athenian Academy of Technology and the Arts,AI.MA.912.AR.1.3,25,9,46.99,73.42,26.43
Athenian Academy of Technology and the Arts,MA.1.DP.1,64,19,62.54,88.94,26.40
Athenian Academy of Technology and the Arts,MA.6.MAFS.6.NS.3.8,3,1,52.72,79.08,26.36
Central Florida Preparatory School,MA.5.GR.3,12,4,52.01,78.02,26.01
Athenian Academy of Technology and the Arts,MA.2.NSO.1.3,22,7,55.63,81.59,25.96
Crestwell School,ELA.4.R.1.3,13,4,57.80,83.48,25.68
Athenian Academy of Technology and the Arts,MA.7.DP.1.5,33,12,44.88,70.52,25.64
Central Florida Preparatory School,MA.912.AR.1.6,8,4,25.52,51.04,25.52
Athenian Academy of Technology and the Arts,MA.3.MAFS.3.NBT.1.3,27,8,60.55,86.05,25.50
Crestwell School,MA.3.NSO.2.4,24,7,61.93,87.43,25.50
Athenian Academy of Technology and the Arts,MA.4.M.2.1,45,14,55.85,81.08,25.23
Crestwell School,MA.1.NSO.2,11,5,30.26,55.47,25.21
Athenian Academy of Technology and the Arts,MAFS.912.F-IF.3.9,5,2,37.75,62.91,25.16
Central Florida Preparatory School,ELA.1.V.1.1,9,3,50.27,75.40,25.13
Crestwell School,MA.3.DP.1.1,17,5,60.21,85.30,25.09
Central Florida Preparatory School,MA.5.NSO.2.4,43,14,51.79,76.79,25.00
Central Florida Preparatory School,SOC.9-12.SS.912.A.7.7,6,2,50.00,75.00,25.00
Athenian Academy of Technology and the Arts,MA.2.NSO.2.4,90,28,55.19,80.12,24.93
Athenian Academy of Technology and the Arts,SOC.6.SS.6.W.3.13,160,56,46.15,71.00,24.85
Athenian Academy of Technology and the Arts,MA.7.DP.2,38,12,53.66,78.43,24.77
Central Florida Preparatory School,MA.8.AR.1.2,3,1,49.48,74.22,24.74
Athenian Academy of Technology and the Arts,MA.4.GR.2.2,6,2,49.35,74.02,24.67
Athenian Academy of Technology and the Arts,MA.912.FL.3.4,6,3,24.66,49.32,24.66
Crestwell School,MA.4.FR.1.4,20,7,45.74,70.37,24.63
Crestwell School,MA.2.M.1.1,18,5,63.84,88.39,24.55
Athenian Academy of Technology and the Arts,MA.5.FR.2.4,31,9,59.99,84.53,24.54
Athenian Academy of Technology and the Arts,MA.7.GR.1.3,12,4,48.96,73.45,24.49
Athenian Academy of Technology and the Arts,MA.1.NSO.2.2,247,71,60.65,85.11,24.46
Central Florida Preparatory School,SCI.7.SC.7.P.11.2,4,1,73.33,97.78,24.45
Athenian Academy of Technology and the Arts,MA.6.GR.2.4,32,11,46.61,71.03,24.42
Central Florida Preparatory School,MA.912.GR.6.3,6,2,48.70,73.06,24.36
Central Florida Preparatory School,MA.5.NSO.2,27,8,57.74,82.04,24.30
Central Florida Preparatory School,0.13,21,7,48.50,72.76,24.26
Crestwell School,MA.1.NSO.1.3,27,13,26.12,50.38,24.26
Crestwell School,MA.2.AR.3.2,4,1,72.78,97.04,24.26
Athenian Academy of Technology and the Arts,MA.6.DP.1.2,78,25,51.36,75.58,24.22
Central Florida Preparatory School,MA.4.AR.2.1,3,1,48.42,72.63,24.21
Athenian Academy of Technology and the Arts,MA.7.GR.2.1,14,4,60.51,84.71,24.20
Athenian Academy of Technology and the Arts,MA.6.NSO.3.3,10,3,56.41,80.59,24.18
Athenian Academy of Technology and the Arts,MA.6.MAFS.6.NS.3.6.c,24,8,48.27,72.40,24.13
Central Florida Preparatory School,SC.912.P.12.3,13,4,54.11,78.16,24.05
Central Florida Preparatory School,SC.2.P.13.3,3,1,47.88,71.82,23.94
Athenian Academy of Technology and the Arts,SCI.K.SC.K.E.5.4,4,1,71.67,95.56,23.89
Central Florida Preparatory School,MA.4.GR.2.1,13,5,38.06,61.85,23.79
Athenian Academy of Technology and the Arts,MA.6.DP.1.6,56,19,46.28,70.04,23.76
Central Florida Preparatory School,MA.1.GR.1.1,8,2,71.15,94.87,23.72
Central Florida Preparatory School,MA.4.FR.1.4,18,6,47.43,71.15,23.72
Athenian Academy of Technology and the Arts,MA.4.FR.2.2,24,7,57.55,81.25,23.70
Athenian Academy of Technology and the Arts,MA.6.NSO.1.2,36,10,61.52,85.18,23.66
