school_name,item_id,item_name,list_shows_subject,true_subject,subject_mismatch,list_shows_grade,true_grade,grade_mismatch,list_denominator,true_question_count,questions_hidden_from_denominator
Central Florida Preparatory School,8259446640,Topic 3,Math,HS Honors Algebra II,t,Higher-Ed,Higher-Ed,f,14,14,0
Central Florida Preparatory School,8259495227,Topic 3,Math,HS Alegra II,t,Higher-Ed,Higher-Ed,f,14,14,0
Central Florida Preparatory School,8261346599,Topic 2,History,HS Economics,t,Higher-Ed,Higher-Ed,f,35,35,0
Central Florida Preparatory School,8270674719,Topic 5,Math,HS Geometry,t,Regular 9–12,Regular 9–12,f,16,16,0
Central Florida Preparatory School,8273818985,Topic 6: New Global Connections (1415?1796),History,HS World History,t,Higher-Ed,Higher-Ed,f,20,20,0
Central Florida Preparatory School,8276471768,Topic 5,Math,HS Algebra I,t,Regular 9–12,Regular 9–12,f,21,21,0
Central Florida Preparatory School,8281483482,Unit 3 Part 1,ELA,HS Honors English III,t,Higher-Ed,Higher-Ed,f,24,24,0
Central Florida Preparatory School,8281483542,Unit 3 Part 2,ELA,HS Honors English III,t,Higher-Ed,Higher-Ed,f,5,5,0
Central Florida Preparatory School,8283875834,Investigation 4: Electric Forces,Science,HS Physics,t,Higher-Ed,Higher-Ed,f,15,15,0
Central Florida Preparatory School,8286339438,Topic 4,Math,HS Alegra II,t,Higher-Ed,Higher-Ed,f,19,19,0
Central Florida Preparatory School,8288325025,Unit 3 Part 1,ELA,HS English IV,t,Regular 9–12,Regular 9–12,f,24,24,0
Central Florida Preparatory School,8288325295,Unit 3 Part 1,ELA,HS Honors English IV,t,Higher-Ed,Higher-Ed,f,24,24,0
Central Florida Preparatory School,8289907436,Topic 6,Math,HS Algebra I,t,Regular 9–12,Regular 9–12,f,21,21,0
Central Florida Preparatory School,8289910221,Unit 3 Part 2,ELA,HS English IV,t,Regular 9–12,Regular 9–12,f,5,5,0
Central Florida Preparatory School,8289910571,Unit 3 Part 2,ELA,HS Honors English IV,t,Higher-Ed,Higher-Ed,f,5,5,0
Central Florida Preparatory School,8291223663,Topic 3,History,HS Economics,t,Higher-Ed,Higher-Ed,f,43,43,0
Central Florida Preparatory School,8323376256,Unit 3 Part 1,ELA,HS English II,t,Regular 9–12,Regular 9–12,f,31,31,0
Central Florida Preparatory School,8323376260,Unit 3 Part 2,ELA,HS English II,t,Regular 9–12,Regular 9–12,f,5,5,0
Central Florida Preparatory School,8326782311,Unit 3 Part 2,ELA,HS English I,t,Regular 9–12,Regular 9–12,f,5,5,0
Central Florida Preparatory School,8326852201,Topic 7: Absolutism and Revolution,History,HS World History,t,Higher-Ed,Higher-Ed,f,20,20,0
Central Florida Preparatory School,8330395855,Topic 5,Math,HS Alegra II,t,Higher-Ed,Higher-Ed,f,22,22,0
Central Florida Preparatory School,8331681508,Topic 7,Math,HS Algebra I,t,Regular 9–12,Regular 9–12,f,15,15,0
Central Florida Preparatory School,8331872167,Investigation 7: Energy,Science,HS Physics,t,Higher-Ed,Higher-Ed,f,15,15,0
Central Florida Preparatory School,8332051196,Topic 4,Math,HS Honors Algebra II,t,Higher-Ed,Higher-Ed,f,19,19,0
Central Florida Preparatory School,8332619471,Topic 7,Math,HS Geometry,t,Regular 9–12,Regular 9–12,f,17,17,0
Central Florida Preparatory School,8334685138,Topic 4,History,HS Economics,t,Higher-Ed,Higher-Ed,f,35,35,0
Central Florida Preparatory School,8335566941,Topic 5,Math,HS Honors Algebra I,t,Higher-Ed,Higher-Ed,f,21,21,0
Central Florida Preparatory School,8339413167,Unit 3 Part 1,ELA,HS Honors English II,t,Higher-Ed,Higher-Ed,f,31,31,0
Central Florida Preparatory School,8339413189,Unit 3 Part 2,ELA,HS Honors English II,t,Higher-Ed,Higher-Ed,f,5,5,0
Central Florida Preparatory School,8341129775,Topic 8,Math,HS Geometry,t,Regular 9–12,Regular 9–12,f,14,14,0
Central Florida Preparatory School,8341726127,Topic 8: The Industrial Revolution (1750?1914),History,HS World History,t,Higher-Ed,Higher-Ed,f,20,20,0
Central Florida Preparatory School,8347030584,Topic 8: Sectionalism and Civil War (1820-1865),Civics,History,t,Grade 7,Grade 8,t,20,20,0
Central Florida Preparatory School,8347031150,Topic 8: Postwar America (1945?1960),ELA,HS United States History,t,Higher-Ed,Higher-Ed,f,20,20,0
Central Florida Preparatory School,7780237817,Home Sweet Habitat: Weekly Assessment: Week 3,ELA,ELA,f,Grade 2,Grade 2,f,6,9,3
