check_name,school_id,subject_id,item_id,drift_type,cube_students,fact_students,cube_questions,fact_questions,cube_standards,fact_standards,cube_score,fact_score,cube_possible,fact_possible,cube_avg,fact_avg
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,,VALUE_DRIFT,20,40,20,40,3,3,552.0000,1068.0000,618.0000,1236.0000,0.893204,0.864078
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,,VALUE_DRIFT,19,39,20,40,4,4,326.0000,672.0000,410.0000,850.0000,0.795122,0.790588
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,,VALUE_DRIFT,40,59,38,57,3,3,670.0000,1004.0000,760.0000,1121.0000,0.881579,0.895629
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,,VALUE_DRIFT,20,41,5,10,0,0,73.0106,152.0114,140.0000,287.0000,0.521504,0.529656
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,7891846801,STALE_CUBE_ROW,19,,20,,4,,341.0000,,418.0000,,0.815789,
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,a558411fde85105bca87dc87205258bf647f95cdf493e6d86a2fe2f9594c8890,7806926683,STALE_CUBE_ROW,13,,13,,5,,140.0000,,191.0000,,0.732984,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,7f89cc611e5d6b8a4772e76b726afa45668f5f3edb1a668746967c7cc7c0db0f,7334679341,STALE_CUBE_ROW,16,,13,,6,,158.0000,,223.0000,,0.708520,
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,4d82ed8f667fe9e0fcfa9ce595aa70d78fef462f764b0b8aedee7ca3addf41f4,7891742813,STALE_CUBE_ROW,17,,10,,8,,248.0000,,306.0000,,0.810458,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,253cf1d595e25c76b7c0f8df69e24fc5920a0b1e07f73512a6caddc19a6d5403,7702561239,STALE_CUBE_ROW,19,,19,,3,,334.0000,,361.0000,,0.925208,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,2d13c6b9ee88333b837d57eda60e063f4fe154254e914f9a543301178f723fb8,,STALE_CUBE_ROW,19,,3,,0,,62.5000,,76.0000,,0.822368,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,d33b643b72c6fcb9297c4b32a1e450cd6c75ea742c06b872b9a3a2d4783cde75,,STALE_CUBE_ROW,21,,5,,0,,79.0008,,147.0000,,0.537420,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,,STALE_CUBE_ROW,20,,21,,5,,639.3334,,874.0000,,0.731503,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,7687678128,STALE_CUBE_ROW,20,,20,,2,,639.5000,,719.0000,,0.889430,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,8336110460,STALE_CUBE_ROW,20,,2,,0,,2208.0000,,2560.0000,,0.862500,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,,STALE_CUBE_ROW,38,,40,,2,,1231.5000,,1377.0000,,0.894336,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,685d58d64f3e9df29c19cb3cd82479a5d13aab49c93aae4f3703a64cfdb9120c,7893373621,STALE_CUBE_ROW,20,,21,,5,,639.3334,,874.0000,,0.731503,
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,11d010f3e565dca081e3c19cbbf530a3f75c786e02bf3cc53c9c1f3b2fdbbbf1,7891794271,STALE_CUBE_ROW,17,,20,,2,,218.0000,,340.0000,,0.641176,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,a868cdad50d1254dadf0d67737d23709876629af79045768e4ae5197c54c8d98,,STALE_CUBE_ROW,20,,2,,0,,2208.0000,,2560.0000,,0.862500,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,69f84f043bcac55206c6b1c01aa2835e2dd1fab62ee36b8903b4f27cba8813d7,7625528258,STALE_CUBE_ROW,18,,5,,0,,75.0000,,90.0000,,0.833333,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,7b61b1fce534a45fdae58c2a2e449d9a0a514ffa01add688ca260b1ce0684f2d,,STALE_CUBE_ROW,18,,1,,0,,1395.0000,,1458.0000,,0.956790,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,624e89a8f7bc9b0ed781a8f4fe30316afc70591b633db10549fce4ab1e94e5c8,7637896011,STALE_CUBE_ROW,17,,8,,0,,116.0000,,136.0000,,0.852941,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,3b783afe7d3956fcd19dafa6ad0feececa7b2cabcb31a0ed68daef9b10db5377,,STALE_CUBE_ROW,20,,20,,3,,516.0000,,618.0000,,0.834951,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,259ba97a7f99d495817938642328653a9091652ba10e466d49fe83701079f1db,7620225345,STALE_CUBE_ROW,19,,6,,0,,1638.0000,,1995.0000,,0.821053,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,5e80a05c31bd43ba9d7fdab5bbd4a8051c7db2a1efbc9aacb0f6d723d4721f19,,STALE_CUBE_ROW,17,,12,,0,,324.0000,,475.0000,,0.682105,
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,,STALE_CUBE_ROW,20,,40,,4,,346.0000,,440.0000,,0.786364,
cube_school_summary,019eb11c-413b-7a66-a7d8-a18f14736ede,07c8e49d5072074c54cfbdb917a6910defa630b9401691850e4426bd67b5f44e,7997342490,STALE_CUBE_ROW,1,,20,,4,,5.0000,,22.0000,,0.227273,
cube_school_summary,019eb11c-410a-7ffb-86e6-a0294c669670,c9c2d7ea91d505b2de51fc1561835d5aa6c6f5750e0e77193fa74e51596899d5,7687663925,STALE_CUBE_ROW,18,,20,,2,,592.0000,,658.0000,,0.899696,
