class,school_name,entity_id,entity_name,fact_label,dim_label,students,fact_rows
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7892360959:2156299046,Unit: 3 Civilization in India and China,History / Grade 6 / 2025-26,,17,17
fact_question_missing_dqd,Crestwell School,7935427513:2165638298,Chapter 16 Test: Define Two-Dimensional Shapes,Math / Grade 3 / 2025-26,,13,13
fact_question_missing_dqd,Crestwell School,7935427513:2165638292,Chapter 16 Test: Define Two-Dimensional Shapes,Math / Grade 3 / 2025-26,,13,13
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7892348517:2156294102,What is the Horror Genre? Selection Test,ELA / Grade 8 / 2025-26,,12,12
fact_question_missing_dqd,Central Florida Preparatory School,7780237817:2130974740,Home Sweet Habitat: Weekly Assessment: Week 3,ELA / Grade 2 / 2024-25,,11,11
fact_question_missing_dqd,Central Florida Preparatory School,7780237817:2130974739,Home Sweet Habitat: Weekly Assessment: Week 3,ELA / Grade 2 / 2024-25,,11,11
fact_question_missing_dqd,Central Florida Preparatory School,7780237817:2130974738,Home Sweet Habitat: Weekly Assessment: Week 3,ELA / Grade 2 / 2024-25,,11,11
fact_question_missing_dqd,Crestwell School,8261137849:2250303162,Module Assessment: I Can Do It!,Reading / Grade K / 2025-26,,10,10
fact_question_missing_dqd,Athenian Academy of Technology and the Arts,7338034079:2018669127,Unit 7 Test,Civics / Grade 8 / 2024-25,,6,6
fact_question_missing_dqd,Crestwell School,7928764338:2163455513,Chapter 16 Test: Fraction Concepts,Math / Grade 2 / 2025-26,,6,6
fact_question_missing_dqd,Crestwell School,7928764338:2163455509,Chapter 16 Test: Fraction Concepts,Math / Grade 2 / 2025-26,,6,6
fact_question_missing_dqd,Crestwell School,8029128083:2192566426,Module Assessment: Nice to Meet You!,Reading / Grade 1 / 2025-26,,1,1
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7594902377,Chapter 12,Math / Grade 5 / 2024-25 / Lesson  Assessments,Math / Grade 5 / 2024-25 / Assessments,20,656
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7661454577,Chapter 9,Math / Grade 2 / 2024-25 / Assessments,Math / Grade 2 / 2024-25 / Lesson  Assessments,19,627
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7496090393,Chapter 11,Math / Grade 3 / 2024-25 / Lesson  Assessments,Math / Grade 3 / 2024-25 / Assessments,20,505
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7789640645,Chapter 16 Temperature and Time,Math / Grade 4 / 2024-25 / Lesson  Assessments,Math / Grade 4 / 2024-25 / Assessments,21,504
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7661450418,Chapter 9,Math / Grade 1 / 2024-25 / Lesson  Assessments,Math / Grade 1 / 2024-25 / Assessments,17,425
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7789352689,Tricksters and Tall Tales: Weekly Assessment: Week 2,ELA / Grade 4 / 2024-25 / Lesson  Assessments,ELA / Grade 4 / 2024-25 / Assessments,21,420
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7334739781,Module Assessment: Use Your Words,ELA / Grade 3 / 2024-25 / Lesson  Assessments,ELA / Grade 3 / 2024-25 / Unit-Chap  Assessments,18,414
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7466000203,Unit 4 Benchmark Test: Day and Night,Science / Grade K / 2024-25 / Lesson  Assessments,Science / Grade K / 2024-25 / Assessments,20,400
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7661455143,Chapter 9,Math / Grade 2 / 2024-25 / Assessments,Math / Grade 2 / 2024-25 / Lesson  Assessments,12,396
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7334741824,Module Assessment: Stories on Stage,ELA / Grade 3 / 2024-25 / Lesson  Assessments,ELA / Grade 3 / 2024-25 / Assessments,18,396
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7337899008,Happy Healthy Me: Weekly Assessment: Week 3,ELA / Grade K / 2024-25 / Assessments,ELA / Grade K / 2024-25 / Lesson  Assessments,21,394
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7789371643,"Above, Below, and Beyond: Weekly Assessment: Week 2",ELA / Grade 5 / 2024-25 / Lesson  Assessments,ELA / Grade 5 / 2024-25 / Assessments,18,378
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7334764745,Art Everywhere: Weekly Assessment: Week 1,ELA / Grade 4 / 2024-25 / Lesson  Assessments,ELA / Grade 4 / 2024-25 / Assessments,22,374
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,8112140343,Chapter 16.1,Math / Grade K / 2025-26 / Lesson  Assessments,Math / Grade K / 2025-26 / Lesson  Assessments,22,352
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7338394693,Unit 4 Benchmark Test: Weather,Science / Grade 2 / 2024-25 / Lesson  Assessments,Science / Grade 2 / 2024-25 / Unit-Chap  Assessments,19,342
fact_vs_dim_item_subject_drift,Athenian Academy of Technology and the Arts,7334678220,Everyone Has a Story: Weekly Assessment: Week 2,ELA / Grade 2 / 2024-25 / Assessments,ELA / Grade 2 / 2024-25 / Lesson  Assessments,19,342
